timestamp_s,side,hip_angle,hip_angle_smooth,knee_angle,back_angle,knee_angle_smooth,back_angle_smooth,elbow_angle,elbow_angle_smooth,body_angle,body_angle_smooth,hip_lift,hip_lift_smooth,hip_angle_display,knee_angle_display,back_angle_display,elbow_angle_display,body_angle_display,tracking_score,tracking_ok,tracking_display,exercise,exercise_confidence,exercise_locked,strap_confidence,stage,rep_count,warnings,pose_detected,frame_index
0.0,right,168.68192429542563,168.68192429542563,122.03586364219014,175.0118621265071,122.03586364219014,175.0118621265071,172.8434648016963,172.8434648016963,173.8435859418755,173.8435859418755,-0.9935335164204735,-0.9935335164204735,168.7 deg,122.0 deg,175.0 deg,172.8 deg,173.8 deg,0.854,True,ok,rdl,0.475,False,0.0,up,0,,True,0
0.0333,right,174.27956962519923,171.48074696031244,174.2285398445241,170.4269971496139,148.13220174335711,172.7194296380605,173.11829223576538,172.98087851873083,177.12240385857,175.48299490022276,-0.9977476694721479,-0.9956405929463107,171.5 deg,148.1 deg,172.7 deg,173.0 deg,175.5 deg,0.866,True,ok,rdl,0.475,False,0.0,up,0,,True,1
0.0667,right,176.76844254362055,173.24331215474845,177.88418639635358,167.10350193762537,158.0495299610226,170.84745373791543,173.81163303930285,173.25779669225483,177.83372722535046,176.266572341932,-0.9989570038877914,-0.9967460632601376,173.2 deg,158.0 deg,170.8 deg,173.3 deg,176.3 deg,0.877,True,ok,rdl,0.7,True,0.0,up,0,,True,2
0.1,right,178.30915595711696,174.50977310534057,178.23641485002403,165.3109720950477,163.09625118327295,169.46333332719848,174.16040827691748,173.48344958842048,179.1927865438264,176.9981258924056,-0.9994625508320852,-0.9974251851531245,174.5 deg,163.1 deg,169.5 deg,173.5 deg,177.0 deg,0.888,True,ok,rdl,0.7,True,0.0,up,0,,True,3
0.1333,right,178.92370846837366,175.3925601779472,177.90912356827997,164.77715511652525,166.05882566027435,168.52609768506383,174.70994218141027,173.72874810701845,180.0,177.59850071392447,-0.9996294286043526,-0.9978660338433702,175.4 deg,166.1 deg,168.5 deg,173.7 deg,177.6 deg,0.896,True,ok,rdl,0.7,True,0.0,up,0,,True,4
0.1667,right,179.0351050457994,175.99965098925588,177.6594935329414,164.32356227845378,167.99227030571885,167.8256751172955,174.86332376974073,173.91784405080548,179.8011898344093,177.96561556733863,-0.9996869163121629,-0.9981695142548356,176.0 deg,168.0 deg,167.8 deg,173.9 deg,178.0 deg,0.904,True,ok,rdl,0.7,True,0.0,up,0,,True,5
0.2,right,179.0641364101121,176.43743462080675,177.28956656779042,164.2606172342483,169.32045548601477,167.31638113400302,174.87409160567495,174.05445084435829,179.5984615122497,178.1988792737545,-0.9997147964613801,-0.9983902688557705,176.4 deg,169.3 deg,167.3 deg,174.1 deg,178.2 deg,0.911,True,ok,rdl,0.7,True,0.0,up,0,,True,6
0.2333,right,179.10605673615777,177.92659639805424,177.35543524343177,163.53734300265728,177.22325142904933,165.67716411631022,174.84584537589427,174.34050521210085,179.57802729279294,179.01808518102843,-0.9997196835397338,-0.9992740070156649,177.9 deg,177.2 deg,165.7 deg,174.3 deg,179.0 deg,0.917,True,ok,rdl,0.7,True,0.0,up,0,,True,7
0.2667,right,179.1447632297029,178.6216240558405,177.06875445220072,163.66040773846632,177.6289963730031,164.71050848614627,174.89404494506323,174.594184170572,179.40127499665468,179.34363820075478,-0.9997419033504126,-0.9995588975697026,178.6 deg,177.6 deg,164.7 deg,174.6 deg,179.3 deg,0.923,True,ok,rdl,0.7,True,0.0,up,0,,True,8
0.3,right,178.84123480320343,178.9177372357809,176.86968424519716,163.73190145737178,177.48406749426653,164.2288512746815,174.9863579900036,174.76200202067207,179.61133792292927,179.59758258612322,-0.9996900814609123,-0.9996636229372912,178.9 deg,177.5 deg,164.2 deg,174.8 deg,179.6 deg,0.929,True,ok,rdl,0.7,True,0.0,up,0,,True,9
0.3333,right,178.60310238594343,178.9597295827561,176.77007867197142,163.8812378806082,177.27459089740185,164.02460352976158,175.04401533221568,174.88823160000038,179.80718550030136,179.68535386561962,-0.9996431457926408,-0.9996894222173707,179.0 deg,177.3 deg,164.0 deg,174.9 deg,179.7 deg,0.933,True,ok,rdl,0.7,True,0.0,up,0,,True,10
0.3667,right,178.35431898814267,178.8783882284374,176.52396241469114,163.52703061613326,177.07671073260343,163.84601431541984,174.95492078029133,174.9232285426977,179.93744274210025,179.6764171144911,-0.999583727540504,-0.9996828934939638,178.9 deg,177.1 deg,163.8 deg,174.9 deg,179.7 deg,0.938,True,ok,rdl,0.7,True,0.0,up,0,,True,11
0.4,right,178.15283826833644,178.75235011737124,176.5624770703055,163.5975597321708,176.91999409508404,163.74229966595087,174.9632382211618,174.93750203575786,179.84804891154332,179.68311126836736,-0.9995072530969934,-0.9996572273203681,178.8 deg,176.9 deg,163.7 deg,174.9 deg,179.7 deg,0.942,True,ok,rdl,0.7,True,0.0,up,0,,True,12
0.4333,right,178.11767992859367,178.6171420485829,176.60569331262852,162.8434953288586,176.82229791577518,163.53985367946663,175.10783282778408,174.9708936389163,179.7992310642709,179.71179263294184,-0.999484258345617,-0.9996242933038306,178.6 deg,176.8 deg,163.5 deg,175.0 deg,179.7 deg,0.946,True,ok,rdl,0.7,True,0.0,up,0,,True,13
0.4667,right,178.1470202485415,178.4801368360663,176.67445182090884,162.65611378436952,176.72501456970048,163.4139637911398,175.1487294595855,175.01416279372933,179.79536976550307,179.74284155761467,-0.9994612795495771,-0.999587378448094,178.5 deg,176.7 deg,163.4 deg,175.0 deg,179.7 deg,0.949,True,ok,rdl,0.7,True,0.0,up,0,,True,14
0.5,right,177.8946649510341,178.30155136768502,176.54124100031828,162.69202993107749,176.64965550514583,163.27562410436994,175.22602946946395,175.061589154358,179.6023790703894,179.77157071100535,-0.9993740629776697,-0.9995348298234165,178.3 deg,176.6 deg,163.3 deg,175.1 deg,179.8 deg,0.952,True,ok,rdl,0.7,True,0.0,up,0,,True,15
0.5333,right,177.75842091645114,178.14686366957753,176.69470639946178,162.22835873275477,176.6246586700408,163.06083228656752,175.23181882445328,175.0966549878508,179.3954208924214,179.74072542093285,-0.9993164166832419,-0.999481449140892,178.1 deg,176.6 deg,163.1 deg,175.1 deg,179.7 deg,0.956,True,ok,rdl,0.7,True,0.0,up,0,,True,16
0.5667,right,177.01128336334662,177.91946095206373,176.23485172078549,162.60992563824271,176.5481976770142,162.8792162519439,175.0594563922948,175.09886085357638,178.8774322419331,179.6079035268802,-0.9990821957145307,-0.9994013134154477,177.9 deg,176.5 deg,162.9 deg,175.1 deg,179.6 deg,0.959,True,ok,rdl,0.7,True,0.0,up,0,,True,17
0.6,right,176.43596738709232,177.64541072334228,175.902080109909,162.84171251947896,176.45935734775964,162.78131366670755,174.90499289597642,175.09172829867427,178.47735736182722,179.39931990112692,-0.9989156721596076,-0.9993058769324624,177.6 deg,176.5 deg,162.8 deg,175.1 deg,179.4 deg,0.962,True,ok,rdl,0.7,True,0.0,up,0,,True,18
0.6333,right,176.08658435711655,177.35023159316802,175.75457560558144,162.6715516361404,176.34394285279907,162.64902679584605,175.34162457694958,175.14578349235822,178.21710118267316,179.16632736843115,-0.9987966581394102,-0.9992043633670934,177.4 deg,176.3 deg,162.6 deg,175.1 deg,179.2 deg,0.964,True,ok,rdl,0.7,True,0.0,up,0,,True,19
0.6667,right,175.83354858235865,177.0239271151344,175.66545962695236,162.79093158603635,176.2096237548453,162.6415176897286,174.98338897923043,175.12800579970767,178.00649114968445,178.91022166634738,-0.9986490931729223,-0.9990850540567084,177.0 deg,176.2 deg,162.6 deg,175.1 deg,178.9 deg,0.967,True,ok,rdl,0.7,True,0.0,up,0,,True,20
0.7,right,175.18382701857942,176.6006137965684,175.30042879708222,163.2311505397819,176.0133347514415,162.72366579764463,175.37547164044764,175.16039753983085,177.55247368349814,178.5898079403467,-0.9984136916343893,-0.998935398640253,176.6 deg,176.0 deg,162.7 deg,175.2 deg,178.6 deg,0.969,True,ok,rdl,0.7,True,0.0,up,0,,True,21
0.7333,right,174.68931343571626,176.14270643723725,175.19739107659314,163.2480619923149,175.82135619090937,162.80309894925,175.36535924769075,175.18030179386326,177.11242126381208,178.23409968226426,-0.9981486079622718,-0.9987603336380534,176.1 deg,175.8 deg,162.8 deg,175.2 deg,178.2 deg,0.971,True,ok,rdl,0.7,True,0.0,up,0,,True,22
0.7667,right,174.11393629479332,175.62206577700044,174.96981636140123,163.26165764985666,175.57494332832925,162.95071308026453,175.37818330905114,175.20121100594866,176.66463473392398,177.84398737390748,-0.9978558008641832,-0.9985516742353308,175.6 deg,175.6 deg,163.0 deg,175.2 deg,177.8 deg,0.973,True,ok,rdl,0.7,True,0.0,up,0,,True,23
0.8,right,173.2507262748204,175.0848433357824,174.5550027284133,163.52582630753068,175.33496490084752,163.08155603301998,175.40389592411378,175.25041665335138,176.02088358975675,177.4359089950251,-0.9973749370403854,-0.9983077801390243,175.1 deg,175.3 deg,163.1 deg,175.3 deg,177.4 deg,0.974,True,ok,rdl,0.7,True,0.0,up,0,,True,24
0.8333,right,172.82561384414277,174.56907854393248,174.25433939059712,163.0466158567619,175.09957336951723,163.11082793834612,175.32290764575205,175.31011876046222,175.74512904812988,177.04559066449696,-0.997059420265266,-0.9980426012969755,174.6 deg,175.1 deg,163.1 deg,175.3 deg,177.0 deg,0.976,True,ok,rdl,0.7,True,0.0,up,0,,True,25
0.8667,right,172.4206796732093,174.04537787480285,174.3345501038925,162.56668280626238,174.8967125835617,163.09584667693497,175.3025967883102,175.30454336208513,175.29330646698824,176.62790570511336,-0.9966339307909936,-0.9977336402472018,174.0 deg,174.9 deg,163.1 deg,175.3 deg,176.6 deg,0.977,True,ok,rdl,0.7,True,0.0,up,0,,True,26
0.9,right,172.07630102957236,173.50862822440482,174.25290684362167,161.92496134934032,174.69491932880015,162.97213664312125,175.08418301504324,175.31894251005838,174.9722317959644,176.19444008315335,-0.9962478344750522,-0.9973906032903631,173.5 deg,174.7 deg,163.0 deg,175.3 deg,176.2 deg,0.979,True,ok,rdl,0.7,True,0.0,up,0,,True,27
