timestamp_s,side,hip_angle,hip_angle_smooth,knee_angle,back_angle,knee_angle_smooth,back_angle_smooth,elbow_angle,elbow_angle_smooth,body_angle,body_angle_smooth,hip_lift,hip_lift_smooth,hip_angle_display,knee_angle_display,back_angle_display,elbow_angle_display,body_angle_display,tracking_score,tracking_ok,tracking_display,exercise,exercise_confidence,exercise_locked,strap_confidence,stage,rep_count,warnings,pose_detected,frame_index
0.0,right,139.2664337797658,139.2664337797658,168.72383352807623,176.29958313930717,168.72383352807623,176.29958313930717,174.17667663289947,174.17667663289947,145.09088545334495,145.09088545334495,-0.8713190987357724,-0.8713190987357724,139.3 deg,168.7 deg,176.3 deg,174.2 deg,145.1 deg,0.979,True,ok,rdl,1.0,True,0.0,up,0,,True,0
0.0333,right,138.76547439810204,139.01595408893394,166.7104229153601,177.13843470168362,167.71712822171816,176.7190089204954,174.66512670878865,174.42090167084405,145.64504497040483,145.3679652118749,-0.875843443794086,-0.8735812712649291,139.0 deg,167.7 deg,176.7 deg,174.4 deg,145.4 deg,0.979,True,ok,rdl,1.0,True,0.0,up,0,,True,1
0.0667,right,138.94969037211507,138.99386618332764,165.09593349871628,178.6826987862137,166.8433966473842,177.37357220906816,175.05798940494438,174.63326424887748,146.56738231872095,145.7677709141569,-0.8832789378881923,-0.8768138268060168,139.0 deg,166.8 deg,177.4 deg,174.6 deg,145.8 deg,0.979,True,ok,rdl,1.0,True,0.0,up,0,,True,2
0.1,right,138.60837979573563,138.89749458642964,163.69354377868729,179.48909278233515,166.05593343020996,177.9024523523849,175.24123636760302,174.78525727855887,146.8959738094009,146.0498216379679,-0.8859731875033277,-0.8791036669803445,138.9 deg,166.1 deg,177.9 deg,174.8 deg,146.0 deg,0.977,True,ok,rdl,1.0,True,0.0,up,0,,True,3
0.1333,right,138.91678384338272,138.90135243782026,162.37655972159652,179.51948720017265,165.32005868848728,178.22585932194244,175.7012127757981,174.9684483780067,147.86045016904995,146.4119473441843,-0.8930326734352725,-0.8818894682713301,138.9 deg,165.3 deg,178.2 deg,175.0 deg,146.4 deg,0.976,True,ok,rdl,1.0,True,0.0,up,0,,True,4
0.1667,right,140.7954825872965,139.2170407960663,162.62695917756128,178.4915610480174,164.8712087699996,178.27014294295495,175.59184417567812,175.0723476776186,149.59515386219934,146.9424817638535,-0.9033029869749223,-0.8854583880552621,139.2 deg,164.9 deg,178.3 deg,175.1 deg,146.9 deg,0.976,True,ok,rdl,1.0,True,0.0,up,0,,True,5
0.2,right,141.80638521231674,139.58694714124493,162.65995194608388,177.39653721882982,164.55531493801163,178.14534212522275,175.85366810893916,175.183964882093,150.6469623692053,147.47169327890376,-0.9093274782643654,-0.888868258085134,139.6 deg,164.6 deg,178.1 deg,175.2 deg,147.5 deg,0.976,True,ok,rdl,1.0,True,0.0,up,0,,True,6
0.2333,right,143.32023296554908,140.16606131064253,162.87699693755064,178.17683251530593,163.72005256793656,178.41352060750833,175.80814928231115,175.41703240343753,152.02585318503367,148.46240295485927,-0.9166619879562672,-0.8953458136880619,140.2 deg,163.7 deg,178.4 deg,175.4 deg,148.5 deg,0.977,True,ok,rdl,1.0,True,0.0,up,0,,True,7
0.2667,right,146.55224243803787,141.27845674491908,164.2797900627827,179.84804891154332,163.37281930328268,178.800608351774,175.39414653336664,175.52117809266295,154.5636442193026,149.73648856184468,-0.9291301562396806,-0.9029582011802898,141.3 deg,163.4 deg,178.8 deg,175.5 deg,149.7 deg,0.977,True,ok,rdl,1.0,True,0.0,up,0,,True,8
0.3,right,146.99199188351383,142.42735696083318,164.7992292943984,180.0,163.33043298838012,178.98879423945775,175.75531378070312,175.62079586062848,154.71537766249645,150.90048789666974,-0.9308886916839949,-0.90975959457969,142.4 deg,163.3 deg,179.0 deg,175.6 deg,150.9 deg,0.978,True,ok,rdl,1.0,True,0.0,up,0,,True,9
0.3333,right,149.04910961658192,143.91888979238269,165.63142696422358,177.0795932379502,163.6072734434567,178.6445800188313,176.4695822529237,175.7962738442457,156.31051975058506,152.24542303112463,-0.9394976579690828,-0.9174059475033695,143.9 deg,163.6 deg,178.6 deg,175.8 deg,152.2 deg,0.979,True,ok,rdl,1.0,True,0.0,up,0,,True,10
0.3667,right,150.70005198505694,145.60221381262184,166.57067647303919,178.24676523160161,164.2064329793771,178.46276259474976,176.60782815843186,175.9257903274791,157.4310414585202,153.6126503581918,-0.9444737078941274,-0.9247546667117773,145.6 deg,164.2 deg,178.5 deg,175.9 deg,153.6 deg,0.98,True,ok,rdl,1.0,True,0.0,up,0,,True,11
0.4,right,152.86702913422252,147.3267204621827,167.68592236911846,176.2453195160791,164.9291420067424,178.14187094733,176.5857941510479,176.06778318110335,159.044591509028,154.96257002202447,-0.9514678247514339,-0.9316353578227076,147.3 deg,164.9 deg,178.1 deg,176.1 deg,155.0 deg,0.981,True,ok,rdl,1.0,True,0.0,up,0,,True,12
