timestamp_s,side,hip_angle,hip_angle_smooth,knee_angle,back_angle,knee_angle_smooth,back_angle_smooth,elbow_angle,elbow_angle_smooth,body_angle,body_angle_smooth,hip_lift,hip_lift_smooth,hip_angle_display,knee_angle_display,back_angle_display,elbow_angle_display,body_angle_display,tracking_score,tracking_ok,tracking_display,exercise,exercise_confidence,exercise_locked,strap_confidence,stage,rep_count,warnings,pose_detected,frame_index
0.0,right,162.00994233135262,162.00994233135262,165.4918582427285,179.05105518894277,165.4918582427285,179.05105518894277,173.98386052948524,173.98386052948524,169.12496162903707,169.12496162903707,-0.032052940864474876,-0.032052940864474876,162.0 deg,165.5 deg,179.1 deg,174.0 deg,169.1 deg,0.992,True,ok,trx_pike,0.40740740740740744,False,0.0,up,0,,True,0
0.0333,right,161.9655556478559,161.98774898960426,165.77864543203017,179.8972079274581,165.63525183737934,179.47413155820044,174.56234962599922,174.27310507774223,168.9057846146812,169.01537312185914,-0.02790462684376135,-0.02997878385411811,162.0 deg,165.6 deg,179.5 deg,174.3 deg,169.0 deg,0.992,True,ok,trx_pike,0.40740740740740744,False,0.0,up,0,,True,1
0.0667,right,162.21189617749192,162.06246471890015,165.18117690584484,179.5174554125306,165.48389352686783,179.48857284297716,174.78702887124376,174.44441300890944,169.42414958480313,169.15163194284048,-0.026548959964421734,-0.02883550922421932,162.1 deg,165.5 deg,179.5 deg,174.4 deg,169.2 deg,0.992,True,ok,trx_pike,0.40740740740740744,False,0.0,up,0,,True,2
0.1,right,162.4850004797513,162.16809865911293,164.76546690464718,179.46624133013069,165.30428687131268,179.48298996476552,174.8602731611126,174.5483780469602,169.9180976099987,169.34324835963002,-0.027143697218308376,-0.028412556222741584,162.2 deg,165.3 deg,179.5 deg,174.5 deg,169.3 deg,0.992,True,ok,trx_pike,0.40740740740740744,False,0.0,up,0,,True,3
0.1333,right,162.57872419397933,162.2502237660862,164.6619940504265,179.57295696217653,165.17582830713545,179.5009833642477,174.90549283576306,174.61980100472078,170.07242892035256,169.48908447177453,-0.02816329614481505,-0.028362704207156274,162.3 deg,165.2 deg,179.5 deg,174.6 deg,169.5 deg,0.992,True,ok,trx_pike,0.40740740740740744,False,0.0,up,0,,True,4
0.1667,right,162.85940965397734,162.3517547474014,164.18649581229977,179.5603144202841,165.01093955799618,179.51087187358712,174.96557267401892,174.67742961627047,170.60476327522554,169.67503093901635,-0.028109322047637688,-0.028320473847236512,162.4 deg,165.0 deg,179.5 deg,174.7 deg,169.7 deg,0.992,True,ok,trx_pike,0.40740740740740744,True,0.0,plank,0,,True,5
0.2,right,163.0813760278749,162.45598635889763,162.7201871960541,179.41616700039427,164.68368922057587,179.49734260598817,175.05343262029317,174.73114433113082,171.54157930177593,169.94168070512487,-0.02765643621970226,-0.028225611329017332,162.5 deg,164.7 deg,179.5 deg,174.7 deg,169.9 deg,0.992,True,ok,trx_pike,0.40740740740740744,True,0.0,plank,0,,True,6
0.2333,right,163.21231638272153,162.62775408052175,162.0568959477847,179.17385803226395,164.19298032129817,179.51488586931978,175.05402674601547,174.88402521920665,171.99950219908007,170.35232935798817,-0.025154673770094244,-0.027240144601248677,162.6 deg,164.2 deg,179.5 deg,174.9 deg,170.4 deg,0.991,True,ok,trx_pike,0.40740740740740744,True,0.0,plank,0,,True,7
0.2667,right,163.75012475441847,162.88269252431638,162.11391800544675,179.2196564676457,163.66944783178627,179.41809280363228,175.08278835228018,174.95837360867532,172.5287149898099,170.8698908401494,-0.025221850652519365,-0.026856890859642678,162.9 deg,163.7 deg,179.4 deg,175.0 deg,170.9 deg,0.991,True,ok,trx_pike,0.40740740740740744,True,0.0,plank,0,,True,8
0.3,right,164.10046514655502,163.1524880913254,162.48603313248276,179.16678262646934,163.28442729273453,179.3679966913378,175.07562202484525,174.99960120204693,172.71107320927607,171.33945135793127,-0.024919191589514604,-0.026624066806084513,163.2 deg,163.3 deg,179.4 deg,175.0 deg,171.3 deg,0.991,True,ok,trx_pike,0.40740740740740744,True,0.0,plank,0,,True,9
